Gender,Annual Income,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No,Body Style,Dealer_Region,Year,Month
Male,105105,Oldsmobile,Bravada,DoubleOverhead Camshaft,Auto,Pale White,19000,787587841,Hatchback,Austin,2022,1
Male,44683,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22500,64573834,Sedan,Middletown,2022,1
Male,64823,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,21001,787587841,Hardtop,Austin,2022,1
Male,46474,Chrysler,Concorde,DoubleOverhead Camshaft,Auto,Pale White,46500,605047114,Hardtop,Aurora,2022,1
Male,57054,Chrysler,300M,DoubleOverhead Camshaft,Auto,Pale White,16000,993013882,SUV,Pasco,2022,1
Male,117746,Volvo,V70,DoubleOverhead Camshaft,Auto,Black,39000,64573834,Passenger,Janesville,2022,1
Female,38260,Nissan,Quest,Overhead Camshaft,Manual,Black,19000,605047114,SUV,Scottsdale,2022,1
Male,134309,Chrysler,LHS,DoubleOverhead Camshaft,Auto,Black,26000,387018047,Hatchback,Austin,2022,1
Male,145540,Honda,Accord,Overhead Camshaft,Manual,Black,43000,993013882,Sedan,Janesville,2022,1
Female,126682,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,54000,535469427,Sedan,Scottsdale,2022,1
Male,89433,Dodge,Durango,DoubleOverhead Camshaft,Auto,Pale White,22000,852573102,SUV,Austin,2022,1
Male,107004,Lexus,ES300,DoubleOverhead Camshaft,Auto,Black,16001,787587841,SUV,Austin,2022,1
Female,76656,BMW,328i,DoubleOverhead Camshaft,Auto,Black,16001,64573834,Sedan,Middletown,2022,1
Male,145149,Toyota,Land Cruiser,DoubleOverhead Camshaft,Auto,Pale White,12000,387018047,SUV,Greenville,2022,1
Male,104334,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Black,38000,64573834,Hardtop,Janesville,2022,1
Male,142624,Ford,Explorer,DoubleOverhead Camshaft,Auto,Pale White,42000,64573834,Hatchback,Middletown,2022,1
Male,36664,Nissan,Pathfinder,DoubleOverhead Camshaft,Auto,Pale White,21000,605047114,Hatchback,Aurora,2022,1
Female,130709,Volvo,C70,DoubleOverhead Camshaft,Auto,Black,49000,535469427,Hatchback,Janesville,2022,1
Male,125036,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,21200,993013882,Hardtop,Pasco,2022,1
Male,135832,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,71000,787587841,SUV,Middletown,2022,1
Female,60545,Chevrolet,Camaro,DoubleOverhead Camshaft,Auto,Pale White,17000,64573834,Sedan,Aurora,2022,1
Female,131310,Subaru,Outback,DoubleOverhead Camshaft,Auto,Pale White,57001,605047114,SUV,Aurora,2022,1
Male,126956,Buick,Park Avenue,DoubleOverhead Camshaft,Auto,Pale White,62001,387018047,Hatchback,Greenville,2022,1
Male,34451,Ford,Taurus,Overhead Camshaft,Manual,Black,69001,993013882,SUV,Pasco,2022,1
Male,129217,Chevrolet,Cavalier,Overhead Camshaft,Manual,Pale White,20001,535469427,SUV,Janesville,2022,1
Male,78658,Audi,A4,DoubleOverhead Camshaft,Auto,Black,27000,852573102,Hardtop,Austin,2022,1
Female,115563,Ford,Focus,Overhead Camshaft,Manual,Black,49000,787587841,Hardtop,Janesville,2022,1
Male,62131,Mitsubishi,Diamante,Overhead Camshaft,Manual,Black,49000,787587841,Hatchback,Austin,2022,1
Female,135713,Lexus,GS400,DoubleOverhead Camshaft,Auto,Black,12000,64573834,Hatchback,Middletown,2022,1
Female,60121,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,25000,387018047,Hatchback,Greenville,2022,1
Male,46389,Chrysler,Concorde,DoubleOverhead Camshaft,Auto,Pale White,42000,993013882,Hatchback,Pasco,2022,1
Male,75546,Chrysler,Sebring Coupe,DoubleOverhead Camshaft,Auto,Pale White,19000,535469427,Sedan,Janesville,2022,1
Female,109111,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Pale White,26750,852573102,Hatchback,Scottsdale,2022,1
Male,42717,Cadillac,Eldorado,DoubleOverhead Camshaft,Auto,Pale White,31000,787587841,Passenger,Austin,2022,1
Male,33104,Saturn,LW,Overhead Camshaft,Manual,Pale White,49000,64573834,Hatchback,Middletown,2022,1
Female,44186,Hyundai,Sonata,Overhead Camshaft,Manual,Black,15000,605047114,SUV,Aurora,2022,1
Male,71524,Mercury,Sable,DoubleOverhead Camshaft,Auto,Pale White,26000,387018047,Sedan,Greenville,2022,1
Male,75194,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Pale White,17000,535469427,Hardtop,Greenville,2022,1
Female,124267,Volvo,C70,Overhead Camshaft,Manual,Pale White,24000,387018047,Hatchback,Pasco,2022,1
Male,78238,Chevrolet,Metro,DoubleOverhead Camshaft,Auto,Pale White,19000,993013882,Passenger,Janesville,2022,1
Male,100010,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,20000,535469427,Passenger,Scottsdale,2022,1
Female,90922,Acura,TL,DoubleOverhead Camshaft,Auto,Black,28501,852573102,Hatchback,Scottsdale,2022,1
Male,134302,BMW,323i,DoubleOverhead Camshaft,Auto,Pale White,15500,605047114,Hatchback,Aurora,2022,1
Male,104504,Plymouth,Voyager,Overhead Camshaft,Manual,Pale White,20000,787587841,Passenger,Austin,2022,1
Male,146535,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,29000,993013882,Sedan,Pasco,2022,1
Male,147262,Chrysler,Cirrus,DoubleOverhead Camshaft,Auto,Pale White,12500,852573102,Passenger,Austin,2022,1
Female,62781,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,16001,787587841,SUV,Austin,2022,1
Male,36573,Lexus,ES300,DoubleOverhead Camshaft,Auto,Pale White,27250,64573834,SUV,Middletown,2022,1
Male,61860,Dodge,Intrepid,Overhead Camshaft,Manual,Black,11000,605047114,Sedan,Aurora,2022,1
Male,96076,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22001,387018047,Sedan,Greenville,2022,1
Male,122090,Dodge,Avenger,DoubleOverhead Camshaft,Auto,Pale White,22000,993013882,Passenger,Pasco,2022,1
Male,121900,Chevrolet,Corvette,Overhead Camshaft,Manual,Pale White,22000,535469427,SUV,Janesville,2022,1
Male,40924,Acura,RL,Overhead Camshaft,Manual,Black,18000,387018047,SUV,Greenville,2022,1
Male,131544,Honda,Odyssey,Overhead Camshaft,Manual,Pale White,27000,993013882,Passenger,Pasco,2022,1
Female,106438,Oldsmobile,Intrigue,Overhead Camshaft,Manual,Pale White,25000,535469427,SUV,Janesville,2022,1
Female,87109,Acura,RL,Overhead Camshaft,Manual,Pale White,26500,852573102,SUV,Scottsdale,2022,1
Male,108580,Ford,Taurus,Overhead Camshaft,Manual,Black,69000,787587841,SUV,Austin,2022,1
Female,134351,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,14150,64573834,Sedan,Middletown,2022,1
Male,143854,Saab,5-Sep,Overhead Camshaft,Manual,Pale White,28000,535469427,Hatchback,Janesville,2022,1
Male,80499,Honda,Civic,Overhead Camshaft,Manual,Black,43000,852573102,Hatchback,Scottsdale,2022,1
Male,79614,BMW,528i,Overhead Camshaft,Manual,Pale White,25000,787587841,SUV,Austin,2022,1
Male,84257,Oldsmobile,Silhouette,DoubleOverhead Camshaft,Auto,Pale White,12000,64573834,Sedan,Middletown,2022,1
Male,30465,Lexus,LS400,DoubleOverhead Camshaft,Auto,Black,39000,605047114,Sedan,Aurora,2022,1
Male,39790,Cadillac,Eldorado,DoubleOverhead Camshaft,Auto,Black,60500,387018047,Passenger,Greenville,2022,1
Male,78990,Volkswagen,Jetta,DoubleOverhead Camshaft,Auto,Pale White,16000,535469427,Passenger,Janesville,2022,1
Male,78138,Pontiac,Bonneville,DoubleOverhead Camshaft,Auto,Pale White,19000,852573102,Hatchback,Scottsdale,2022,1
Male,149312,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Black,44000,787587841,Hatchback,Austin,2022,1
Female,113666,Oldsmobile,Aurora,Overhead Camshaft,Manual,Pale White,71000,64573834,Passenger,Middletown,2022,1
Male,133493,Ford,Mustang,Overhead Camshaft,Manual,Pale White,25000,605047114,Hatchback,Aurora,2022,1
Male,80947,Mitsubishi,Diamante,DoubleOverhead Camshaft,Auto,Black,18000,387018047,Hatchback,Greenville,2022,1
Male,40664,Ford,Expedition,Overhead Camshaft,Manual,Pale White,22000,787587841,SUV,Middletown,2022,1
Male,37624,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000,64573834,Hardtop,Middletown,2022,1
Female,72189,Ford,Focus,Overhead Camshaft,Manual,Black,49000,387018047,Hardtop,Greenville,2022,1
Male,46699,Volkswagen,Jetta,DoubleOverhead Camshaft,Auto,Pale White,19000,387018047,Passenger,Pasco,2022,1
Female,75363,BMW,528i,Overhead Camshaft,Manual,Black,21000,993013882,SUV,Janesville,2022,1
Female,56863,Subaru,Forester,DoubleOverhead Camshaft,Auto,Black,22000,852573102,Hardtop,Scottsdale,2022,1
Female,110235,Plymouth,Breeze,Overhead Camshaft,Manual,Pale White,16000,852573102,SUV,Scottsdale,2022,1
Female,87591,Volkswagen,Beetle,DoubleOverhead Camshaft,Auto,Pale White,45000,787587841,SUV,Austin,2022,1
Male,39319,Dodge,Intrepid,Overhead Camshaft,Manual,Black,11650,64573834,Sedan,Middletown,2022,1
Male,128910,Hyundai,Elantra,Overhead Camshaft,Manual,Pale White,26000,605047114,Sedan,Aurora,2022,1
Male,41187,Saturn,SW,Overhead Camshaft,Manual,Black,36000,605047114,Passenger,Aurora,2022,1
Male,118460,Lincoln,Continental,Overhead Camshaft,Manual,Pale White,82000,387018047,Passenger,Greenville,2022,1
Female,92223,Chevrolet,Camaro,DoubleOverhead Camshaft,Auto,Pale White,24000,993013882,Sedan,Pasco,2022,1
Male,83396,Nissan,Pathfinder,Overhead Camshaft,Manual,Pale White,11800,64573834,Hardtop,Austin,2022,1
Male,98966,Toyota,RAV4,DoubleOverhead Camshaft,Auto,Pale White,27500,993013882,Hatchback,Pasco,2022,1
Male,97749,Mercury,Villager,DoubleOverhead Camshaft,Auto,Pale White,36000,535469427,Passenger,Janesville,2022,1
Male,72267,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,20000,852573102,Passenger,Scottsdale,2022,1
Male,71929,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,17000,787587841,Passenger,Austin,2022,1
Male,100598,Volkswagen,Jetta,DoubleOverhead Camshaft,Auto,Pale White,16900,993013882,Passenger,Pasco,2022,1
Male,128292,Buick,Regal,DoubleOverhead Camshaft,Auto,Pale White,46500,535469427,Passenger,Janesville,2022,1
Male,107023,Mercedes-B,C-Class,DoubleOverhead Camshaft,Auto,Black,14000,852573102,Hatchback,Scottsdale,2022,1
Male,64453,Toyota,Sienna,Overhead Camshaft,Manual,Black,16000,787587841,Passenger,Austin,2022,1
Male,55054,Volvo,S70,Overhead Camshaft,Manual,Black,22000,787587841,Hardtop,Austin,2022,1
Male,58049,Nissan,Altima,DoubleOverhead Camshaft,Auto,Pale White,20000,787587841,Hatchback,Middletown,2022,1
Female,46055,Toyota,Celica,Overhead Camshaft,Manual,Pale White,14200,535469427,SUV,Aurora,2022,1
Male,49252,Saturn,LS,DoubleOverhead Camshaft,Auto,Pale White,51000,852573102,Sedan,Greenville,2022,1
Male,119414,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,19000,387018047,Hatchback,Greenville,2022,1
Male,122300,Lexus,GS400,DoubleOverhead Camshaft,Auto,Pale White,31000,993013882,Hatchback,Pasco,2022,1
Male,51981,Porsche,Carrera Cabrio,DoubleOverhead Camshaft,Auto,Pale White,32000,535469427,Passenger,Janesville,2022,1
Male,134799,Dodge,Ram Van,DoubleOverhead Camshaft,Auto,Pale White,31000,852573102,Hatchback,Scottsdale,2022,1
Male,74422,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,14000,852573102,Sedan,Scottsdale,2022,1
Male,139171,Audi,A6,Overhead Camshaft,Manual,Black,25000,787587841,SUV,Austin,2022,1
Female,50236,Oldsmobile,Cutlass,DoubleOverhead Camshaft,Auto,Pale White,46000,535469427,Sedan,Janesville,2022,1
Female,52628,Mercedes-B,S-Class,DoubleOverhead Camshaft,Auto,Black,39500,852573102,SUV,Scottsdale,2022,1
Male,124327,Mitsubishi,3000GT,DoubleOverhead Camshaft,Auto,Black,39000,64573834,Sedan,Middletown,2022,1
Male,71866,BMW,528i,DoubleOverhead Camshaft,Auto,Black,31000,605047114,SUV,Aurora,2022,1
Male,96947,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,41000,387018047,Hatchback,Greenville,2022,1
Male,89313,Chrysler,300M,DoubleOverhead Camshaft,Auto,Pale White,22000,993013882,SUV,Pasco,2022,1
Female,81531,Ford,Mustang,Overhead Camshaft,Manual,Black,22000,64573834,Hatchback,Middletown,2022,1
Male,93908,Dodge,Viper,DoubleOverhead Camshaft,Auto,Pale White,41000,605047114,SUV,Aurora,2022,1
Male,79654,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,21000,387018047,Passenger,Greenville,2022,1
Male,82446,Mercedes-B,SLK,Overhead Camshaft,Manual,Black,26000,993013882,Passenger,Pasco,2022,1
Male,142483,Mercedes-B,E-Class,DoubleOverhead Camshaft,Auto,Pale White,31000,787587841,Sedan,Pasco,2022,1
Male,76218,Pontiac,Grand Am,DoubleOverhead Camshaft,Auto,Pale White,19000,64573834,SUV,Janesville,2022,1
Male,64428,Saturn,LW,Overhead Camshaft,Manual,Pale White,13000,605047114,Hatchback,Scottsdale,2022,1
Male,98125,Saturn,SC,DoubleOverhead Camshaft,Auto,Black,33000,64573834,Hardtop,Middletown,2022,1
Male,32159,Mercury,Sable,Overhead Camshaft,Manual,Pale White,61000,787587841,Sedan,Austin,2022,1
Male,137061,Toyota,Land Cruiser,DoubleOverhead Camshaft,Auto,Black,21000,64573834,SUV,Middletown,2022,1
Female,136989,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,16000,787587841,Sedan,Austin,2022,1
Male,80940,Oldsmobile,Bravada,DoubleOverhead Camshaft,Auto,Pale White,15000,64573834,Hatchback,Middletown,2022,1
Male,54191,Volkswagen,Passat,Overhead Camshaft,Manual,Pale White,27000,535469427,Hatchback,Janesville,2022,1
Male,148928,Volkswagen,Passat,DoubleOverhead Camshaft,Auto,Pale White,13500,852573102,Hatchback,Scottsdale,2022,1
Male,51774,Nissan,Xterra,DoubleOverhead Camshaft,Auto,Black,9250,535469427,Passenger,Janesville,2022,1
Male,71668,Ford,Mustang,DoubleOverhead Camshaft,Auto,Pale White,31000,852573102,Hatchback,Scottsdale,2022,1
Male,142443,Volkswagen,Passat,DoubleOverhead Camshaft,Auto,Pale White,32000,993013882,Hatchback,Middletown,2022,1
Male,87674,Volvo,S40,DoubleOverhead Camshaft,Auto,Pale White,29500,535469427,Sedan,Aurora,2022,1
Male,45029,Mercury,Villager,Overhead Camshaft,Manual,Pale White,14000,605047114,Passenger,Aurora,2022,1
Male,139676,Nissan,Frontier,DoubleOverhead Camshaft,Auto,Pale White,18501,387018047,Hatchback,Greenville,2022,1
Female,48586,Acura,RL,Overhead Camshaft,Manual,Pale White,17001,993013882,SUV,Pasco,2022,1
Female,134357,Mitsubishi,Montero Sport,Overhead Camshaft,Manual,Pale White,12500,535469427,SUV,Janesville,2022,1
Female,35438,BMW,528i,Overhead Camshaft,Manual,Black,21000,852573102,SUV,Scottsdale,2022,1
Male,55364,BMW,528i,DoubleOverhead Camshaft,Auto,Pale White,62000,605047114,SUV,Aurora,2022,1
Male,40144,Ford,Crown Victoria,DoubleOverhead Camshaft,Auto,Black,11000,387018047,Passenger,Greenville,2022,1
Male,89876,Nissan,Frontier,Overhead Camshaft,Manual,Pale White,20000,993013882,Hatchback,Pasco,2022,1
Male,144306,Honda,Accord,DoubleOverhead Camshaft,Auto,Pale White,21200,535469427,Sedan,Janesville,2022,1
Male,127683,Toyota,Camry,Overhead Camshaft,Manual,Black,29000,852573102,Hatchback,Scottsdale,2022,1
Male,105725,Cadillac,Eldorado,DoubleOverhead Camshaft,Auto,Pale White,17000,787587841,Passenger,Austin,2022,1
Male,49381,Lexus,ES300,DoubleOverhead Camshaft,Auto,Pale White,27000,64573834,Hatchback,Middletown,2022,1
Male,112128,Volvo,S40,Overhead Camshaft,Manual,Black,36000,605047114,Sedan,Aurora,2022,1
Female,95215,Lincoln,Navigator,DoubleOverhead Camshaft,Auto,Black,19000,387018047,Sedan,Greenville,2022,1
Male,96016,Nissan,Frontier,DoubleOverhead Camshaft,Auto,Pale White,18000,993013882,Hatchback,Pasco,2022,1
Male,39079,Chevrolet,Prizm,DoubleOverhead Camshaft,Auto,Pale White,15000,535469427,Hardtop,Janesville,2022,1
Male,119972,Toyota,Tacoma,Overhead Camshaft,Manual,Pale White,24000,64573834,Hardtop,Middletown,2022,1
Male,36202,Nissan,Sentra,DoubleOverhead Camshaft,Auto,Black,16000,852573102,Passenger,Scottsdale,2022,1
Male,30283,Ford,Crown Victoria,DoubleOverhead Camshaft,Auto,Pale White,29000,787587841,Passenger,Austin,2022,1
